month,CPI
2000-01,73.942
2000-02,74.294
2000-03,74.039
2000-04,74.146
2000-05,73.878
2000-06,73.999
2000-07,74.378
2000-08,74.769
2000-09,74.787
2000-10,74.844
2000-11,75.009
2000-12,75.135
2001-01,75.413
2001-02,75.27
2001-03,75.404
2001-04,75.611
2001-05,75.307
2001-06,74.894
2001-07,75.343
2001-08,75.299
2001-09,75.195
2001-10,75.005
2001-11,74.847
2001-12,74.693
2002-01,74.584
2002-02,74.804
2002-03,74.734
2002-04,74.814
2002-05,75.047
2002-06,75.0
2002-07,75.023
2002-08,74.97
2002-09,74.877
2002-10,74.855
2002-11,75.022
2002-12,75.019
2003-01,75.235
2003-02,75.097
2003-03,75.307
2003-04,75.46
2003-05,74.981
2003-06,74.757
2003-07,75.224
2003-08,75.312
2003-09,75.392
2003-10,75.34
2003-11,75.443
2003-12,75.578
2004-01,75.741
2004-02,76.613
2004-03,76.051
2004-04,76.564
2004-05,76.747
2004-06,76.147
2004-07,76.758
2004-08,76.659
2004-09,76.816
2004-10,76.788
2004-11,76.767
2004-12,76.569
2005-01,76.038
2005-02,76.597
2005-03,76.373
2005-04,76.843
2005-05,76.72
2005-06,76.02
2005-07,76.817
2005-08,77.18
2005-09,77.289
2005-10,77.604
2005-11,77.509
2005-12,77.534
2006-01,77.355
2006-02,77.509
2006-03,77.252
2006-04,77.673
2006-05,77.556
2006-06,77.069
2006-07,77.651
2006-08,77.694
2006-09,77.627
2006-10,77.93
2006-11,77.93
2006-12,78.161
2007-01,76.904
2007-02,77.479
2007-03,77.43
2007-04,78.025
2007-05,78.537
2007-06,78.384
2007-07,79.958
2007-08,80.374
2007-09,79.963
2007-10,81.095
2007-11,81.716
2007-12,81.147
2008-01,82.002
2008-02,82.558
2008-03,82.632
2008-04,83.933
2008-05,84.451
2008-06,84.296
2008-07,85.216
2008-08,85.544
2008-09,85.361
2008-10,86.304
2008-11,86.245
2008-12,85.501
2009-01,85.507
2009-02,85.236
2009-03,84.751
2009-04,84.206
2009-05,84.656
2009-06,84.283
2009-07,85.003
2009-08,85.307
2009-09,85.008
2009-10,85.521
2009-11,85.566
2009-12,85.05
2010-01,85.682
2010-02,86.048
2010-03,86.115
2010-04,86.901
2010-05,87.402
2010-06,86.567
2010-07,87.676
2010-08,88.081
2010-09,88.129
2010-10,88.525
2010-11,88.818
2010-12,88.954
2011-01,90.405
2011-02,90.339
2011-03,90.458
2011-04,90.774
2011-05,91.318
2011-06,91.103
2011-07,92.448
2011-08,93.115
2011-09,92.941
2011-10,93.322
2011-11,93.842
2011-12,93.877
2012-01,94.748
2012-02,94.491
2012-03,95.207
2012-04,95.718
2012-05,95.917
2012-06,95.924
2012-07,96.146
2012-08,96.744
2012-09,97.298
2012-10,97.1
2012-11,97.225
2012-12,97.936
2013-01,98.121
2013-02,99.107
2013-03,98.574
2013-04,97.112
2013-05,97.457
2013-06,97.656
2013-07,97.929
2013-08,98.718
2013-09,98.865
2013-10,99.02
2013-11,99.72
2013-12,99.404
2014-01,99.506
2014-02,99.484
2014-03,99.749
2014-04,99.342
2014-05,99.676
2014-06,99.508
2014-07,99.213
2014-08,99.742
2014-09,99.553
2014-10,99.255
2014-11,99.441
2014-12,99.328
2014-01,99.506
2014-02,99.484
2014-03,99.749
2014-04,99.342
2014-05,99.676
2014-06,99.508
2014-07,99.213
2014-08,99.742
2014-09,99.553
2014-10,99.255
2014-11,99.441
2014-12,99.328
2015-01,99.114
2015-02,99.211
2015-03,99.449
2015-04,98.829
2015-05,99.279
2015-06,99.171
2015-07,98.818
2015-08,98.911
2015-09,98.912
2015-10,98.487
2015-11,98.684
2015-12,98.693
2016-01,98.476
2016-02,98.375
2016-03,98.416
2016-04,98.365
2016-05,97.724
2016-06,98.449
2016-07,98.173
2016-08,98.657
2016-09,98.666
2016-10,98.383
2016-11,98.699
2016-12,98.854
2017-01,99.026
2017-02,99.023
2017-03,99.064
2017-04,98.762
2017-05,99.098
2017-06,98.956
2017-07,98.726
2017-08,99.056
2017-09,99.036
2017-10,98.75
2017-11,99.322
2017-12,99.225
2018-01,99.035
2018-02,99.501
2018-03,99.299
2018-04,98.833
2018-05,99.449
2018-06,99.505
2018-07,99.359
2018-08,99.778
2018-09,99.753
2018-10,99.447
2018-11,99.61
2018-12,99.686
2019-01,99.387
2019-02,99.953
2019-03,99.972
2019-04,99.753
2019-05,100.325
2019-06,100.038
2019-07,99.587
2019-08,100.209
2019-09,100.147
2019-10,99.93
2019-11,100.254
2019-12,100.445
2020-01,100.204
2020-02,100.279
2020-03,99.933
2020-04,99.012
2020-05,99.48
2020-06,99.5
2020-07,99.178
2020-08,99.807
2020-09,100.139
2020-10,99.711
2020-11,100.105
2020-12,100.469
2021-01,100.44
2021-02,101.015
2021-03,101.239
2021-04,101.07
2021-05,101.883
2021-06,101.87
2021-07,101.672
2021-08,102.231
2021-09,102.657
2021-10,102.95
2021-11,103.959
2021-12,104.439
2022-01,104.472
2022-02,105.379
2022-03,106.691
2022-04,106.547
2022-05,107.598
2022-06,108.671
2022-07,108.836
2022-08,109.863
2022-09,110.339
2022-10,109.893
2022-11,110.959
2022-12,111.186
2023-01,111.397
2023-02,112.019
2023-03,112.583
2023-04,112.669
2023-05,113.034
2023-06,113.576
2023-07,113.309
2023-08,114.303
